,DPD,Fecha,Ubigeo,Contagiados,Proyeccion,Fallecidos,Movilidad,Vacunados
ANCASH-CARHUAZ-MARCARA,ANCASH-CARHUAZ-MARCARA,2021-03-01 00:00:00,020606,1,8,0.0,-27.4,2.0
ANCASH-CARHUAZ-PARIAHUANCA,ANCASH-CARHUAZ-PARIAHUANCA,2020-10-26 00:00:00,020607,1,1,0.0,-14.628571428571428,0.0
ANCASH-CARHUAZ-SAN MIGUEL DE ACO,ANCASH-CARHUAZ-SAN MIGUEL DE ACO,2021-01-25 00:00:00,020608,1,1,0.0,-17.228571428571428,0.0
ANCASH-CARHUAZ-SHILLA,ANCASH-CARHUAZ-SHILLA,2021-03-01 00:00:00,020609,1,2,0.0,-27.4,0.0
ANCASH-CARHUAZ-TINCO,ANCASH-CARHUAZ-TINCO,2021-02-22 00:00:00,020610,1,2,0.0,-19.514285714285712,3.0
ANCASH-CARHUAZ-YUNGAR,ANCASH-CARHUAZ-YUNGAR,2021-03-01 00:00:00,020611,5,5,0.0,-27.4,0.0
ANCASH-CASMA-BUENA VISTA ALTA,ANCASH-CASMA-BUENA VISTA ALTA,2021-03-01 00:00:00,020802,1,3,0.0,-27.0,0.0
ANCASH-CASMA-CASMA,ANCASH-CASMA-CASMA,2021-03-01 00:00:00,020801,15,16,1.0,-27.0,87.0
ANCASH-CASMA-COMANDANTE NOEL,ANCASH-CASMA-COMANDANTE NOEL,2020-10-26 00:00:00,020803,1,2,0.0,-23.02857142857143,0.0
ANCASH-CASMA-YAUTAN,ANCASH-CASMA-YAUTAN,2021-03-01 00:00:00,020804,6,5,0.0,-27.0,1.0
ANCASH-HUARAZ-COCHABAMBA,ANCASH-HUARAZ-COCHABAMBA,2021-03-01 00:00:00,020102,1,3,0.0,-64.4,10.0
ANCASH-HUARAZ-COLCABAMBA,ANCASH-HUARAZ-COLCABAMBA,2020-10-26 00:00:00,020103,1,1,0.0,-32.771428571428565,0.0
ANCASH-HUARAZ-HUANCHAY,ANCASH-HUARAZ-HUANCHAY,2021-02-01 00:00:00,020104,1,1,1.0,-57.82857142857142,0.0
ANCASH-HUARAZ-HUARAZ,ANCASH-HUARAZ-HUARAZ,2021-03-01 00:00:00,020101,36,27,1.0,-64.4,274.0
ANCASH-HUARAZ-INDEPENDENCIA,ANCASH-HUARAZ-INDEPENDENCIA,2021-03-01 00:00:00,020105,18,19,0.0,-64.4,186.0
ANCASH-HUARAZ-JANGAS,ANCASH-HUARAZ-JANGAS,2021-03-01 00:00:00,020106,1,2,0.0,-64.4,0.0
ANCASH-HUARAZ-LA LIBERTAD,ANCASH-HUARAZ-LA LIBERTAD,2021-01-11 00:00:00,020107,1,1,0.0,-32.65714285714286,0.0
ANCASH-HUARAZ-OLLEROS,ANCASH-HUARAZ-OLLEROS,2021-03-01 00:00:00,020108,1,2,1.0,-64.4,1.0
ANCASH-HUARAZ-PAMPAS GRANDE,ANCASH-HUARAZ-PAMPAS GRANDE,2021-02-15 00:00:00,020109,1,1,0.0,-44.542857142857144,0.0
ANCASH-HUARAZ-PARIACOTO,ANCASH-HUARAZ-PARIACOTO,2021-03-01 00:00:00,020110,4,8,0.0,-64.4,16.0
ANCASH-HUARAZ-PIRA,ANCASH-HUARAZ-PIRA,2021-03-01 00:00:00,020111,1,3,0.0,-64.4,0.0
ANCASH-HUARAZ-TARICA,ANCASH-HUARAZ-TARICA,2021-02-22 00:00:00,020112,6,4,0.0,-39.68571428571429,0.0
ANCASH-HUARI-ANRA,ANCASH-HUARI-ANRA,2021-02-22 00:00:00,021002,1,2,0.0,-8.914285714285715,6.0
ANCASH-HUARI-CAJAY,ANCASH-HUARI-CAJAY,2020-11-23 00:00:00,021003,1,0,0.0,-2.8571428571428568,0.0
ANCASH-HUARI-CHAVIN DE HUANTAR,ANCASH-HUARI-CHAVIN DE HUANTAR,2021-02-22 00:00:00,021004,1,1,0.0,-8.914285714285715,39.0
ANCASH-HUARI-HUACACHI,ANCASH-HUARI-HUACACHI,2020-08-03 00:00:00,021005,1,1,0.0,-12.6,0.0
ANCASH-HUARI-HUACCHIS,ANCASH-HUARI-HUACCHIS,2020-12-21 00:00:00,021006,1,0,0.0,-0.14285714285714307,0.0
ANCASH-HUARI-HUACHIS,ANCASH-HUARI-HUACHIS,2021-02-22 00:00:00,021007,1,1,0.0,-8.914285714285715,17.0
ANCASH-HUARI-HUANTAR,ANCASH-HUARI-HUANTAR,2021-03-01 00:00:00,021008,1,1,0.0,-14.2,0.0
ANCASH-HUARI-HUARI,ANCASH-HUARI-HUARI,2021-03-01 00:00:00,021001,1,2,0.0,-14.2,96.0
ANCASH-HUARI-MASIN,ANCASH-HUARI-MASIN,2021-01-25 00:00:00,021009,1,1,0.0,-5.228571428571429,0.0
ANCASH-HUARI-PAUCAS,,,,,,,,
ANCASH-HUARI-RAHUAPAMPA,ANCASH-HUARI-RAHUAPAMPA,2020-11-23 00:00:00,021012,1,1,0.0,-2.8571428571428568,0.0
ANCASH-HUARI-RAPAYAN,,,,,,,,
ANCASH-HUARI-SAN MARCOS,ANCASH-HUARI-SAN MARCOS,2021-03-01 00:00:00,021014,1,3,0.0,-14.2,4.0
ANCASH-HUARI-SAN PEDRO DE CHANA,ANCASH-HUARI-SAN PEDRO DE CHANA,2021-02-22 00:00:00,021015,1,1,0.0,-8.914285714285715,3.0
ANCASH-HUARI-UCO,ANCASH-HUARI-UCO,2021-02-22 00:00:00,021016,1,1,0.0,-8.914285714285715,17.0
ANCASH-HUARMEY-COCHAPETI,,,,,,,,
ANCASH-HUARMEY-CULEBRAS,ANCASH-HUARMEY-CULEBRAS,2021-02-22 00:00:00,021103,1,5,0.0,-25.114285714285714,14.0
ANCASH-HUARMEY-HUARMEY,ANCASH-HUARMEY-HUARMEY,2021-03-01 00:00:00,021101,19,34,3.0,-40.0,63.0
ANCASH-HUARMEY-HUAYAN,ANCASH-HUARMEY-HUAYAN,2020-11-16 00:00:00,021104,1,1,0.0,-19.428571428571427,0.0
ANCASH-HUAYLAS-CARAZ,ANCASH-HUAYLAS-CARAZ,2021-03-01 00:00:00,021201,10,9,0.0,-25.2,140.0
ANCASH-HUAYLAS-HUALLANCA,ANCASH-HUAYLAS-HUALLANCA,2021-03-01 00:00:00,021202,6,5,0.0,-25.2,0.0
ANCASH-HUAYLAS-HUATA,ANCASH-HUAYLAS-HUATA,2021-02-22 00:00:00,021203,1,1,0.0,-12.457142857142857,3.0
ANCASH-HUAYLAS-HUAYLAS,ANCASH-HUAYLAS-HUAYLAS,2021-02-15 00:00:00,021204,5,2,0.0,-13.514285714285714,0.0
ANCASH-HUAYLAS-MATO,ANCASH-HUAYLAS-MATO,2021-02-15 00:00:00,021205,1,0,0.0,-13.514285714285714,0.0
ANCASH-HUAYLAS-PAMPAROMAS,ANCASH-HUAYLAS-PAMPAROMAS,2021-02-08 00:00:00,021206,6,6,0.0,-16.6,0.0
ANCASH-HUAYLAS-PUEBLO LIBRE,ANCASH-HUAYLAS-PUEBLO LIBRE,2021-02-22 00:00:00,021207,6,4,0.0,-12.457142857142857,33.0
ANCASH-HUAYLAS-SANTA CRUZ,ANCASH-HUAYLAS-SANTA CRUZ,2021-02-22 00:00:00,021208,4,3,0.0,-12.457142857142857,14.0
ANCASH-HUAYLAS-SANTO TORIBIO,ANCASH-HUAYLAS-SANTO TORIBIO,2021-02-15 00:00:00,021209,3,1,0.0,-13.514285714285714,0.0
ANCASH-HUAYLAS-YURACMARCA,ANCASH-HUAYLAS-YURACMARCA,2021-02-01 00:00:00,021210,2,5,0.0,-17.428571428571427,0.0
ANCASH-SANTA-CACERES DEL PERU,ANCASH-SANTA-CACERES DEL PERU,2021-02-22 00:00:00,021802,1,2,0.0,-44.31428571428571,21.0
ANCASH-SANTA-CHIMBOTE,ANCASH-SANTA-CHIMBOTE,2021-03-01 00:00:00,021801,60,94,4.0,-68.2,340.0
ANCASH-SANTA-COISHCO,ANCASH-SANTA-COISHCO,2021-02-22 00:00:00,021803,10,16,2.0,-44.31428571428571,25.0
ANCASH-SANTA-MACATE,ANCASH-SANTA-MACATE,2021-02-22 00:00:00,021804,1,2,0.0,-44.31428571428571,0.0
ANCASH-SANTA-MORO,ANCASH-SANTA-MORO,2021-03-01 00:00:00,021805,3,5,0.0,-68.2,1.0
ANCASH-SANTA-NEPEÑA,ANCASH-SANTA-NEPEÑA,2021-03-01 00:00:00,021806,3,14,1.0,-68.2,0.0
ANCASH-SANTA-NUEVO CHIMBOTE,ANCASH-SANTA-NUEVO CHIMBOTE,2021-03-01 00:00:00,021809,54,9,4.0,-68.2,630.0
ANCASH-SANTA-SAMANCO,ANCASH-SANTA-SAMANCO,2021-03-01 00:00:00,021807,1,8,1.0,-68.2,0.0
ANCASH-SANTA-SANTA,ANCASH-SANTA-SANTA,2021-03-01 00:00:00,021808,2,16,1.0,-68.2,0.0
ANCASH-YUNGAY-CASCAPARA,ANCASH-YUNGAY-CASCAPARA,2020-12-21 00:00:00,022002,1,1,0.0,-9.542857142857143,0.0
ANCASH-YUNGAY-MANCOS,ANCASH-YUNGAY-MANCOS,2021-03-01 00:00:00,022003,1,3,0.0,-15.2,2.0
ANCASH-YUNGAY-MATACOTO,ANCASH-YUNGAY-MATACOTO,2021-02-15 00:00:00,022004,1,2,0.0,-14.371428571428572,0.0
ANCASH-YUNGAY-QUILLO,ANCASH-YUNGAY-QUILLO,2021-02-08 00:00:00,022005,2,4,0.0,-18.057142857142857,14.0
ANCASH-YUNGAY-RANRAHIRCA,ANCASH-YUNGAY-RANRAHIRCA,2021-02-22 00:00:00,022006,2,3,0.0,-14.228571428571428,17.0
ANCASH-YUNGAY-SHUPLUY,ANCASH-YUNGAY-SHUPLUY,2021-02-15 00:00:00,022007,1,1,0.0,-14.371428571428572,0.0
ANCASH-YUNGAY-YANAMA,ANCASH-YUNGAY-YANAMA,2021-03-01 00:00:00,022008,2,2,0.0,-15.2,0.0
ANCASH-YUNGAY-YUNGAY,ANCASH-YUNGAY-YUNGAY,2021-03-01 00:00:00,022001,7,8,0.0,-15.2,2.0
APURIMAC-ABANCAY-ABANCAY,APURIMAC-ABANCAY-ABANCAY,2021-03-01 00:00:00,030101,34,43,4.0,-63.4,309.0
APURIMAC-ABANCAY-CHACOCHE,APURIMAC-ABANCAY-CHACOCHE,2021-03-01 00:00:00,030102,1,1,0.0,-63.4,4.0
APURIMAC-ABANCAY-CIRCA,APURIMAC-ABANCAY-CIRCA,2021-02-22 00:00:00,030103,1,1,0.0,-41.51428571428572,21.0
APURIMAC-ABANCAY-CURAHUASI,APURIMAC-ABANCAY-CURAHUASI,2021-03-01 00:00:00,030104,3,8,0.0,-63.4,86.0
APURIMAC-ABANCAY-HUANIPACA,APURIMAC-ABANCAY-HUANIPACA,2021-02-08 00:00:00,030105,1,2,0.0,-51.142857142857146,0.0
APURIMAC-ABANCAY-LAMBRAMA,APURIMAC-ABANCAY-LAMBRAMA,2021-03-01 00:00:00,030106,3,2,0.0,-63.4,25.0
APURIMAC-ABANCAY-PICHIRHUA,APURIMAC-ABANCAY-PICHIRHUA,2021-02-08 00:00:00,030107,2,2,0.0,-51.142857142857146,0.0
APURIMAC-ABANCAY-SAN PEDRO DE CACHORA,APURIMAC-ABANCAY-SAN PEDRO DE CACHORA,2021-02-15 00:00:00,030108,1,4,1.0,-46.114285714285714,0.0
APURIMAC-ABANCAY-TAMBURCO,APURIMAC-ABANCAY-TAMBURCO,2021-03-01 00:00:00,030109,3,1,0.0,-63.4,63.0
APURIMAC-ANDAHUAYLAS-ANDAHUAYLAS,APURIMAC-ANDAHUAYLAS-ANDAHUAYLAS,2021-03-01 00:00:00,030201,24,24,1.0,-35.6,455.0
APURIMAC-ANDAHUAYLAS-ANDARAPA,APURIMAC-ANDAHUAYLAS-ANDARAPA,2021-02-15 00:00:00,030202,3,3,0.0,-20.114285714285717,10.0
APURIMAC-ANDAHUAYLAS-CHIARA,APURIMAC-ANDAHUAYLAS-CHIARA,2021-01-18 00:00:00,030203,1,1,0.0,-19.685714285714287,0.0
APURIMAC-ANDAHUAYLAS-HUANCARAMA,APURIMAC-ANDAHUAYLAS-HUANCARAMA,2021-02-22 00:00:00,030204,1,1,0.0,-18.114285714285714,22.0
APURIMAC-ANDAHUAYLAS-HUANCARAY,APURIMAC-ANDAHUAYLAS-HUANCARAY,2021-03-01 00:00:00,030205,5,9,1.0,-35.6,24.0
APURIMAC-ANDAHUAYLAS-HUAYANA,,,,,,,,
APURIMAC-ANDAHUAYLAS-JOSE MARIA ARGUEDAS,APURIMAC-ANDAHUAYLAS-JOSE MARIA ARGUEDAS,2021-02-22 00:00:00,030220,2,2,0.0,-18.114285714285714,0.0
APURIMAC-ANDAHUAYLAS-KAQUIABAMBA,APURIMAC-ANDAHUAYLAS-KAQUIABAMBA,2021-02-01 00:00:00,030219,1,2,0.0,-29.885714285714283,0.0
APURIMAC-ANDAHUAYLAS-KISHUARA,APURIMAC-ANDAHUAYLAS-KISHUARA,2021-02-08 00:00:00,030207,3,13,0.0,-27.942857142857143,24.0
APURIMAC-ANDAHUAYLAS-PACOBAMBA,APURIMAC-ANDAHUAYLAS-PACOBAMBA,2021-02-08 00:00:00,030208,1,2,0.0,-27.942857142857143,0.0
APURIMAC-ANDAHUAYLAS-PACUCHA,APURIMAC-ANDAHUAYLAS-PACUCHA,2021-03-01 00:00:00,030209,2,5,1.0,-35.6,35.0
APURIMAC-ANDAHUAYLAS-PAMPACHIRI,APURIMAC-ANDAHUAYLAS-PAMPACHIRI,2021-02-22 00:00:00,030210,5,10,0.0,-18.114285714285714,8.0
APURIMAC-ANDAHUAYLAS-POMACOCHA,APURIMAC-ANDAHUAYLAS-POMACOCHA,2020-09-21 00:00:00,030211,1,1,0.0,-17.628571428571426,0.0
