,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,SEMANA,UUID
536,APURIMAC,COTABAMBAS,MARA,030505,2021-09,14
537,APURIMAC,COTABAMBAS,TAMBOBAMBA,030501,2021-06,58
538,APURIMAC,COTABAMBAS,TAMBOBAMBA,030501,2021-07,6
539,APURIMAC,COTABAMBAS,TAMBOBAMBA,030501,2021-08,74
540,APURIMAC,COTABAMBAS,TAMBOBAMBA,030501,2021-09,69
541,APURIMAC,GRAU,CHUQUIBAMBILLA,030701,2021-06,47
542,APURIMAC,GRAU,CHUQUIBAMBILLA,030701,2021-07,11
543,APURIMAC,GRAU,CHUQUIBAMBILLA,030701,2021-08,45
544,APURIMAC,GRAU,CHUQUIBAMBILLA,030701,2021-09,36
545,APURIMAC,GRAU,CURASCO,030714,2021-08,9
546,APURIMAC,GRAU,CURASCO,030714,2021-09,1
547,APURIMAC,GRAU,CURPAHUASI,030702,2021-08,15
548,APURIMAC,GRAU,CURPAHUASI,030702,2021-09,1
549,APURIMAC,GRAU,GAMARRA,030703,2021-08,33
550,APURIMAC,GRAU,HUAYLLATI,030704,2021-08,18
551,APURIMAC,GRAU,HUAYLLATI,030704,2021-09,2
552,APURIMAC,GRAU,MAMARA,030705,2021-08,5
553,APURIMAC,GRAU,MICAELA BASTIDAS,030706,2021-08,4
554,APURIMAC,GRAU,PATAYPAMPA,030707,2021-08,6
555,APURIMAC,GRAU,PROGRESO,030708,2021-08,28
556,APURIMAC,GRAU,PROGRESO,030708,2021-09,8
557,APURIMAC,GRAU,SAN ANTONIO,030709,2021-08,2
558,APURIMAC,GRAU,SANTA ROSA,030710,2021-08,5
559,APURIMAC,GRAU,SANTA ROSA,030710,2021-09,1
560,APURIMAC,GRAU,TURPAY,030711,2021-08,2
561,APURIMAC,GRAU,VILCABAMBA,030712,2021-06,31
562,APURIMAC,GRAU,VILCABAMBA,030712,2021-07,5
563,APURIMAC,GRAU,VILCABAMBA,030712,2021-08,2
564,APURIMAC,GRAU,VILCABAMBA,030712,2021-09,28
565,APURIMAC,GRAU,VIRUNDO,030713,2021-08,4
566,AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE,040102,2021-08,205
567,AREQUIPA,AREQUIPA,AREQUIPA,040101,2021-06,2572
568,AREQUIPA,AREQUIPA,AREQUIPA,040101,2021-07,2197
569,AREQUIPA,AREQUIPA,AREQUIPA,040101,2021-08,2195
570,AREQUIPA,AREQUIPA,AREQUIPA,040101,2021-09,1157
571,AREQUIPA,AREQUIPA,CAYMA,040103,2021-06,112
572,AREQUIPA,AREQUIPA,CAYMA,040103,2021-07,217
573,AREQUIPA,AREQUIPA,CAYMA,040103,2021-08,318
574,AREQUIPA,AREQUIPA,CAYMA,040103,2021-09,252
575,AREQUIPA,AREQUIPA,CERRO COLORADO,040104,2021-06,105
576,AREQUIPA,AREQUIPA,CERRO COLORADO,040104,2021-07,105
577,AREQUIPA,AREQUIPA,CERRO COLORADO,040104,2021-08,380
578,AREQUIPA,AREQUIPA,CERRO COLORADO,040104,2021-09,142
579,AREQUIPA,AREQUIPA,CHARACATO,040105,2021-07,8
580,AREQUIPA,AREQUIPA,CHARACATO,040105,2021-08,73
581,AREQUIPA,AREQUIPA,CHIGUATA,040106,2021-08,28
582,AREQUIPA,AREQUIPA,JACOBO HUNTER,040107,2021-06,75
583,AREQUIPA,AREQUIPA,JACOBO HUNTER,040107,2021-07,61
584,AREQUIPA,AREQUIPA,JACOBO HUNTER,040107,2021-08,71
585,AREQUIPA,AREQUIPA,JACOBO HUNTER,040107,2021-09,5
586,AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,040129,2021-08,159
587,AREQUIPA,AREQUIPA,LA JOYA,040108,2021-08,73
588,AREQUIPA,AREQUIPA,MARIANO MELGAR,040109,2021-06,123
589,AREQUIPA,AREQUIPA,MARIANO MELGAR,040109,2021-07,70
590,AREQUIPA,AREQUIPA,MARIANO MELGAR,040109,2021-08,174
591,AREQUIPA,AREQUIPA,MARIANO MELGAR,040109,2021-09,11
592,AREQUIPA,AREQUIPA,MIRAFLORES,040110,2021-06,56
593,AREQUIPA,AREQUIPA,MIRAFLORES,040110,2021-08,150
594,AREQUIPA,AREQUIPA,MIRAFLORES,040110,2021-09,134
595,AREQUIPA,AREQUIPA,PAUCARPATA,040112,2021-06,61
596,AREQUIPA,AREQUIPA,PAUCARPATA,040112,2021-08,355
597,AREQUIPA,AREQUIPA,PAUCARPATA,040112,2021-09,23
598,AREQUIPA,AREQUIPA,SOCABAYA,040122,2021-07,40
599,AREQUIPA,AREQUIPA,SOCABAYA,040122,2021-08,298
600,AREQUIPA,AREQUIPA,TIABAYA,040123,2021-08,81
601,AREQUIPA,AREQUIPA,VITOR,040125,2021-08,30
602,AREQUIPA,AREQUIPA,YANAHUARA,040126,2021-06,339
603,AREQUIPA,AREQUIPA,YANAHUARA,040126,2021-07,471
604,AREQUIPA,AREQUIPA,YANAHUARA,040126,2021-08,137
605,AREQUIPA,AREQUIPA,YANAHUARA,040126,2021-09,91
606,AREQUIPA,AREQUIPA,YURA,040128,2021-08,87
607,AREQUIPA,CAMANA,CAMANA,040201,2021-06,146
608,AREQUIPA,CAMANA,CAMANA,040201,2021-07,173
609,AREQUIPA,CAMANA,CAMANA,040201,2021-08,47
610,AREQUIPA,CAMANA,CAMANA,040201,2021-09,49
611,AREQUIPA,CAMANA,MARISCAL CACERES,040204,2021-07,45
612,AREQUIPA,CAMANA,MARISCAL CACERES,040204,2021-08,3
613,AREQUIPA,CAMANA,MARISCAL CACERES,040204,2021-09,3
614,AREQUIPA,CAMANA,NICOLAS DE PIEROLA,040205,2021-07,18
615,AREQUIPA,CAMANA,NICOLAS DE PIEROLA,040205,2021-08,15
616,AREQUIPA,CAMANA,NICOLAS DE PIEROLA,040205,2021-09,2
617,AREQUIPA,CAMANA,OCOÑA,040206,2021-07,31
618,AREQUIPA,CAMANA,OCOÑA,040206,2021-08,6
619,AREQUIPA,CAMANA,OCOÑA,040206,2021-09,1
620,AREQUIPA,CAMANA,SAMUEL PASTOR,040208,2021-07,126
621,AREQUIPA,CAMANA,SAMUEL PASTOR,040208,2021-08,1
622,AREQUIPA,CAMANA,SAMUEL PASTOR,040208,2021-09,1
623,AREQUIPA,CARAVELI,ACARI,040302,2021-07,50
624,AREQUIPA,CARAVELI,ACARI,040302,2021-08,2
625,AREQUIPA,CARAVELI,ACARI,040302,2021-09,3
626,AREQUIPA,CARAVELI,ATICO,040303,2021-07,22
627,AREQUIPA,CARAVELI,ATICO,040303,2021-08,1
628,AREQUIPA,CARAVELI,CARAVELI,040301,2021-07,35
629,AREQUIPA,CARAVELI,CHALA,040307,2021-07,61
630,AREQUIPA,CARAVELI,CHALA,040307,2021-08,3
631,AREQUIPA,CARAVELI,CHALA,040307,2021-09,5
632,AREQUIPA,CASTILLA,ANDAGUA,040402,2021-07,18
633,AREQUIPA,CASTILLA,ANDAGUA,040402,2021-08,13
634,AREQUIPA,CASTILLA,ANDAGUA,040402,2021-09,1
